name,type,start_date,end_date,influence_area
Động đất tại Kon Tum,Động đất,12/05/2021,12/05/2021,Xã Đăk Ring - Huyện Kon Plông - Tỉnh Kon Tum
Động đất tại Kon Tum,Động đất,12/05/2021,12/05/2021,Xã Ngọk Tem - Huyện Kon Plông - Tỉnh Kon Tum
Mưa kèm dông lốc tại Bắc Kạn,"Mưa dông kèm theo lốc, sét và mưa đá",12/05/2021,13/05/2021,"Các huyện Bạch Thông, Chợ Đồn, Chợ Mới, Na Rì và TP. Bắc Kạn - Tỉnh Bắc Kạn"
"Mưa lớn kèm sét, lốc xoáy tại Quảng Trị",Lốc,12/05/2021,12/05/2021,Xã Gio Mai và Gio Quang - Huyện Gio Linh - Tỉnh Quảng Trị
"Mưa kèm dông, lốc, sét tại Tuyên Quang","Mưa dông kèm theo lốc, sét và mưa đá",12/05/2021,13/05/2021,Huyện Na Hang và Yên Sơn - Tỉnh Tuyên Quang
Động đất tại Quảng Ngãi,Động đất,11/05/2021,11/05/2021,"Huyện Sơn Hà, tỉnh Quảng Ngãi"
Động đất tại Lai Châu,Động đất,11/05/2021,11/05/2021,"Huyện Mường Tè, tỉnh Lai Châu."
Sạt lở đất tại Thái Nguyên,Sạt lở đất do mưa lũ hoặc dòng chảy,11/05/2021,11/05/2021,"Xóm Lân Đăm, xã Quang Sơn, huyện Đồng Hỷ, tỉnh Thái Nguyên"
Ngập lụt tại Hà Nội,Ngập lụt,11/05/2021,11/05/2021,Các quận nội thành và huyện Đông Anh - TP. Hà Nội
Mưa kèm giông lốc tại Tuyên Quang,Lốc,10/05/2021,11/05/2021,"Các huyện Yên Sơn, Chiêm Hóa tỉnh Tuyên Quang"
Mưa đá tại Phú Thọ,Mưa đá,10/05/2021,10/05/2021,"Các xã Bảo Yên, Đoan Hạ, Sơn Thuỷ, thị trấn Thanh Thuỷ - Huyện Thanh Thuỷ - Tỉnh Phú Thọ"
"Dông, lốc, sét tại Hà Tĩnh",Lốc,10/05/2021,10/05/2021,"Các xã Cẩm Bình, Cẩm Duệ, Cẩm Dương, Cẩm Hưng, Cẩm Mỹ, Cẩm Quan, Cẩm Quang, Cẩm Thạch, Cẩm Thành, Cẩm Thịnh, Cẩm Vịnh, Nam Phúc Thăng, Thị trấn Cẩm Xuyên, Yên Hoà - Huyện Cẩm Xuyên - Tỉnh Hà Tĩnh"
Sét tại tỉnh Quảng Trị,Sét,10/05/2021,10/05/2021,"Thị trấn Cam Lộ, huyện Cam Lộ, tỉnh Quảng Trị"
Lốc tại tỉnh Thái Nguyên,Lốc,10/05/2021,11/05/2021,Huyện Đồng Hỷ và Huyện Định Hoá - Tỉnh Thái Nguyên
Mưa to kèm theo lốc tại Nghệ An,Lốc,10/05/2021,10/05/2021,"Các huyện Nam Đàn, Hưng Nguyên, TP. Vinh, Thị xã Cửa Lò - Tỉnh Nghệ An"
Động đất tại Kon Tum,Động đất,09/05/2021,09/05/2021,"Huyện Kon Plông, tỉnh Kon Tum"
Mưa dông kèm lốc xoáy tại Quảng Trị,Lốc,09/05/2021,09/05/2021,"Các xã A Ngo, A Bung - Huyện Đakrông - Tỉnh Quảng Trị"
Mưa to kèm theo lốc tại Nghệ An,Bão,09/05/2021,09/05/2021,"Huyện Nam Đàn, Thanh Chương, tỉnh Nghệ An"
Lốc xoáy tại Lâm Đồng,Bão,09/05/2021,09/05/2021,"Thôn 3, xã Lộc Bảo, huyện Bảo Lâm, tỉnh Lâm Đồng"
Mưa to kèm lốc xoáy tại Nghệ An,Bão,09/05/2021,09/05/2021,"Các huyện Nam Đàn, Thanh Chương - Tỉnh Nghệ An"
Mưa dông kèm lốc xoáy tại Long An,Lốc,08/05/2021,08/05/2021,Xã Đức Tân - Huyện Tân Trụ - Tỉnh Long An
"Mưa lớn kèm lốc, sét tại Tây Ninh",Bão,06/05/2021,06/05/2021,"Các Huyện Châu Thành, Tân Biên -  Tỉnh Tây Ninh"
Động đất tại Kon Tum,Động đất,05/05/2021,05/05/2021,"Huyện Kon Plông, tỉnh Kon Tum"
Động đất tại Kon Tum,Động đất,04/05/2021,04/05/2021,"Huyện Kon Plong, tỉnh Kon Tum"
Động đất tại Kon Tum,Động đất,02/05/2021,02/05/2021,"Huyện Kon Plong, tỉnh Kon Tum"
Động đất tại Kon Tum,Động đất,02/05/2021,02/05/2021,"Huyện Kon Plong, tỉnh Kon Tum"
Động đất tại Kon Tum,Động đất,01/05/2021,01/05/2021,"Huyện Kon Plong, tỉnh Kon Tum"
Động đất tại Kon Tum,Động đất,01/05/2021,01/05/2021,"Huyện Kon Plong, tỉnh Kon Tum"
Động đất tại Kon Tum,Động đất,01/05/2021,01/05/2021,"Huyện Kon Plong, tỉnh Kon Tum"
Động đất tại Kon Tum,Động đất,27/04/2021,27/04/2021,"Huyện Kon Plông, tỉnh Kon Tum"
Động đất tại Kon Tum,Động đất,26/04/2021,26/04/2021,"Huyện Kon Plong, tỉnh Kon Tum"
Động đất tại Kon Tum,Động đất,22/04/2021,22/04/2021,"Huyện Kon Plông, tỉnh Kon Tum"
Động đất tại Hà Tĩnh,Động đất,22/04/2021,22/04/2021,"Huyện Nghi Xuân, tỉnh Hà Tĩnh"
Động đất tại Kon Tum,Động đất,21/04/2021,21/04/2021,"Huyện Kon Plông, tỉnh Kon Tum"
Động đất tại Kon Tum,Động đất,21/04/2021,21/04/2021,"Huyện Kon Plông, tỉnh Kon Tum"
Động đất tại Kon Tum,Động đất,20/04/2021,20/04/2021,"Huyện Kon Plông, tỉnh Kon Tum"
Động đất tại Kon Tum,Động đất,20/04/2021,20/04/2021,"Huyện Kon Plông, tỉnh Kon Tum"
Động đất tại Kon Tum,Động đất,18/04/2021,18/04/2021,"Huyện Kon Rẫy, tỉnh Kon Tum"
Siêu bão SURIGAE,Bão,17/04/2021,23/04/2021,Vùng biển phía Đông miền Trung Phi-líp-pin
Lũ quét tại Lào Cai,Lũ quét,17/04/2021,17/04/2021,"Thôn Minh Hạ, xã Minh Lương, huyện Văn Bàn, tỉnh Lào Cai"
Động đất tại Kon Tum,Động đất,15/04/2021,15/04/2021,"Huyện Kon Plông, tỉnh Kon Tum"
Động đất tại Kon Tum,Động đất,15/04/2021,15/04/2021,"Huyện Đắk Hà, tỉnh Kon Tum"
Động đất tại Kon Tum,Động đất,14/04/2021,14/04/2021,"Huyện Đắk Hà, tỉnh Kon Tum"
Động đất tại Kon Tum,Động đất,13/04/2021,13/04/2021,"Huyện Ngọc Hồi, tỉnh Kon Tum."
Động đất tại Quảng Ngãi,Động đất,12/04/2021,12/04/2021,"Huyện Trà Bồng, tỉnh Quảng Ngãi"
Động đất tại Quảng Ngãi,Động đất,12/04/2021,12/04/2021,"Động đất xảy ra tại khu vực huyện Trà Bồng, tỉnh Quảng Ngãi"
Mưa dông tại Lai Châu,Mưa lớn,11/04/2021,11/04/2021,"Huyện Mường Tè, Nậm Nhùn và Phong Thổ - Tỉnh Lai Châu"
Động đất tại Quảng Nam,Động đất,10/04/2021,10/04/2021,"Huyện Bắc Trà My, tỉnh Quảng Nam"
Động đất tại Kon Tum,Động đất,04/04/2021,04/04/2021,"Huyện Kon Plông, tỉnh Kon Tum"
Mưa đá tại Sơn La,Mưa đá,10/03/2021,10/03/2021,"Huyện Mộc Châu, tỉnh Sơn La"
Động đất tại Quảng Nam,Động đất,01/03/2021,01/03/2021,"Huyện Nam Trà My, tỉnh Quảng Nam"
Động đất tại Lai Châu,Động đất,28/02/2021,28/02/2021,"Huyện Mường Tè, tỉnh Lai Châu"
Động đất tại Vân Nam (Trung Quốc),Động đất,17/02/2021,17/02/2021,"Tỉnh Vân Nam, Trung Quốc (cách biên giới Việt Nam tại địa phận huyện Mèo Vạc, tỉnh Hà Giang khoảng 15km)"
Động đất tại Cao Bằng,Động đất,07/02/2021,07/02/2021,"Huyện Trung Khánh, tỉnh Cao Bằng"
Động đất tại Hoà Bình,Động đất,06/02/2021,06/02/2021,"Huyện Tân Lạc, tỉnh Hòa Bình"
Động đất tại Lai Châu,Động đất,15/01/2021,15/01/2021,"Huyện Mường Tè, tỉnh Lai Châu"
Động đất tại Lai Châu,Động đất,13/01/2021,13/01/2021,"Huyện Mường Tè, tỉnh Lai Châu."
Động đất tại Trung Quốc,Động đất,13/01/2021,13/01/2021,"Tỉnh Vân Nam, Trung Quốc (cách huyện Mường Tè, tỉnh Lai Châu khoảng 26 km)."
Động đất tại Hoà Bình,Động đất,10/01/2021,10/01/2021,"Huyện Mai Châu, tỉnh Hòa Bình."
Động đất tại Trung Quốc,Động đất,07/01/2021,07/01/2021,"Tỉnh Vân Nam, Trung Quốc (cách huyện Mường Khương, tỉnh Lào Cai khoảng 28 km)."
Động đất tại Lào,Động đất,06/01/2021,06/01/2021,"Tỉnh Houaphan, Lào (cách huyện Quan Sơn, tỉnh Thanh Hóa khoảng 9 km)."
Động đất tại Điện Biên,Động đất,31/12/2020,31/12/2020,"Huyện Mường Nhé, tỉnh Điện Biên"
Bão số 14 (KROVANH),Bão,18/12/2020,,
Mưa lớn,Mưa lớn,29/11/2020,02/12/2020,"Các tỉnh Thừa Thiên Huế, Quảng Nam, Quảng Ngãi, Phú Yên, Khánh Hòa, Lâm Đồng và Đắk Lắk"
Động đất tại Hoà Bình,Động đất,25/11/2020,25/11/2020,"Huyện Mai Châu, tỉnh Hòa Bình."
Động đất tại Sơn La,Động đất,20/11/2020,20/11/2020,"Huyện Mộc Châu, Sơn La."
Động đất tại Lai Châu,Động đất,18/11/2020,18/11/2020,"Huyện Mường Tè, Lai Châu."
Động đất tại Sơn La,Động đất,11/11/2020,11/11/2020,"Huyện Mộc Châu, tỉnh Sơn La."
Bão số 13 (VAMCO),Bão,10/11/2020,15/11/2020,Vùng biển phía Đông Phi-líp-pin
Bão số 12 (ETAU),Bão,07/11/2020,10/11/2020,Trên đất liền các tỉnh từ Bình Định đến Ninh Thuận.
Động đất tại ven biển tỉnh Thái Bình,Động đất,07/11/2020,07/11/2020,Khu vực ngoài khơi biển tỉnh Thái Bình.
Bão số 11 (ATSANI),Bão,06/11/2020,07/11/2020,Biển Đông
Bão số 10 (GONI),Bão,31/10/2020,06/11/2020,Vùng biển các tỉnh Quảng Ngãi đến Phú Yên
Động đất tại Yên Bái,Động đất,26/10/2020,26/10/2020,"Huyện Văn Yên, tỉnh Yên Bái."
Bão số 9 (MOLAVE),Bão,24/10/2020,28/10/2020,"Trên đất liền các tỉnh Quảng Nam, Quảng Ngãi"
Động đất tại Sơn La,Động đất,20/10/2020,20/10/2020,"Huyện Sốp Cộp, tỉnh Sơn La."
Động đất tại Sơn La,Động đất,19/10/2020,19/10/2020,"Huyện Mộc Châu, tỉnh Sơn La."
Bão số 8 (SAUDEL),Bão,19/10/2020,25/10/2020,Trên vùng biển các tỉnh từ Hà Tĩnh đến Quảng Trị
Động đất tại Quảng Nam,Động đất,16/10/2020,16/10/2020,"Huyện Bắc Trà My, tỉnh Quảng Nam."
Động đất tại Quảng Ngãi,Động đất,14/10/2020,14/10/2020,"Huyện Trà Bồng, tỉnh Quảng Ngãi."
Động đất tại Quảng Ngãi,Động đất,14/10/2020,14/10/2020,"Huyện Trà Bồng, tỉnh Quảng Ngãi."
Động đất tại Quảng Ngãi,Động đất,14/10/2020,14/10/2020,"Huyện Trà Bồng, tỉnh Quảng Ngãi."
Động đất tại Quảng Ngãi,Động đất,14/10/2020,14/10/2020,"Huyện Trà Bồng, tỉnh Quảng Ngãi."
Áp thấp nhiệt đới trên biển Đông,Áp thấp nhiệt đới,13/10/2020,16/10/2020,Các tỉnh Trung Trung Bộ
Bão số 7 (NANGKA),Bão,11/10/2020,14/10/2020,Trên đất liền các tỉnh từ Nam Định đến Thanh Hóa.
Động đất tại Điện Biên,Động đất,10/10/2020,10/10/2020,"Huyện Tuần Giáo, Điện Biên."
Bão số 6 (LINFA),Bão,09/10/2020,11/10/2020,Từ Quảng Nam đến Bình Định
Vùng áp thấp trên biển Đông,Áp thấp nhiệt đới,05/10/2020,,Trên biển Đông
Mưa lớn tại Lào Cai,Mưa lớn,05/10/2020,06/10/2020,"Huyện Bát Xát, Bảo Thắng, thành phố Lào Cai tỉnh Lào Cai"
Mưa lớn tại Hà Giang,Mưa lớn,05/10/2020,06/10/2020,Tỉnh Hà Giang
Mưa lớn tại tỉnh Gia Lai,Mưa lớn,04/10/2020,04/10/2020,Thành phố Pleiku tỉnh Gia Lai
Mưa lớn tại Cà Mau,Mưa lớn,28/09/2020,28/09/2020,"Huyện U Minh, thành phố Cà Mau, huyện Trần Văn Thời, huyện Phú Tân, huyện Cái Nước tỉnh Cà Mau"
Lốc xoáy tại Cà Mau,Lốc,28/09/2020,28/09/2020,"Ấp Dinh Củ, xã Tam Giang Tây, huyện Ngọc Hiển"
Mưa lớn tại Tuyên Quang,Mưa lớn,26/09/2020,27/09/2020,Huyện Hàm Yên tỉnh Tuyên Quang
Động đất tại Sơn La,Động đất,25/09/2020,25/09/2020,"Động đất xảy ra tại khu vực huyện Mộc Châu, tỉnh Sơn La."
Động đất tại Cao Bằng,Động đất,25/09/2020,25/09/2020,"Huyện Bảo Lâm, Cao Bằng"
Ngập lụt do mưa lớn tại tỉnh Bình Thuận,Ngập lụt,25/09/2020,26/09/2020,"Xã Đức Bình, Đức Thuận, Nghị Đức huyện Tánh Linh, tỉnh Bình Thuận"
Động đất tại Sơn La,Động đất,24/09/2020,24/09/2020,"Động đất xảy ra tại khu vực huyện Mộc Châu, tỉnh Sơn La."
Động đất tại Sơn La,Động đất,24/09/2020,24/09/2020,"Huyện Mộc Châu, tỉnh Sơn La."
"Mưa dông, sạt lở đất tại An Giang",Sạt lở đất do mưa lũ hoặc dòng chảy,24/09/2020,28/09/2020,"Huyện An Phú, tỉnh An Giang"
Động đất tại Sơn La,Động đất,21/09/2020,21/09/2020,Huyện Mộc Châu - Tỉnh Sơn La
Bão số 5 (NOUL),Bão,15/09/2020,18/09/2020,Khu vực trên biển Đông
"Mưa lũ tại huyện Lục Yên, tỉnh Yên Bái",Ngập lụt,14/09/2020,14/09/2020,"Xã Lâm Thượng, Tân Phượng, Mường Lai huyện Lục Yên, tỉnh Yên Bái"
Sét tại Vĩnh Phúc,Sét,13/09/2020,13/09/2020,"Xã Liên Hòa, huyện Lập Thạch, tỉnh Vĩnh Phúc"
Sạt lở đất tại Hà Giang,Sạt lở đất do mưa lũ hoặc dòng chảy,13/09/2020,13/09/2020,Tỉnh Hà Giang
"Sạt lở, ngập lụt tại Hà Giang",Sạt lở đất do mưa lũ hoặc dòng chảy,13/09/2020,14/09/2020,"Huyện Quang Bình, Bắc Quang tỉnh Hà Giang"
Lốc xoáy tại Hà Tĩnh,Lốc,13/09/2020,13/09/2020,"thôn Ngõ Lỗi xã Trường Sơn, huyện Đức Thọ, tỉnh Hà Tĩnh"
Lốc xoáy tại An Giang,Lốc,13/09/2020,13/09/2020,"Huyện An Phú và thành phố Châu Đốc, tỉnh An Giang"
Lốc xoáy tại tỉnh An Giang,Lốc,12/09/2020,12/09/2020,"Xã Bình Long, Thạnh Mỹ Tây và Vĩnh Thạnh Trung huyện Châu Phú, tỉnh An Giang."
Lốc tại tỉnh Thái Nguyên,Lốc,12/09/2020,13/09/2020,"Xã Tân Linh, thị trấn Quân Chu, huyện Đại Từ tỉnh Thái Nguyên"
Mưa lớn tại tỉnh Hà Giang,Mưa lớn,11/09/2020,12/09/2020,"Huyện Mèo Vạc, Thành phố Hà Giang,"
Lốc tại tỉnh Vĩnh Long,Lốc,11/09/2020,11/09/2020,"Xã Lộc Hòa, Thạnh Quới, Phú Quới và Tân Hạnh của huyện Long Hồ, tỉnh Vĩnh Long"
Mưa lớn tại Tuyên Quang,Mưa lớn,10/09/2020,11/09/2020,"Huyện Chiêm Hóa, Lâm Bình tỉnh Tuyên Quang"
Sạt lở đất tại Lào Cai,Sạt lở đất do mưa lũ hoặc dòng chảy,10/09/2020,11/09/2020,"Thôn Cửa Cải - Vĩ Mã, thị trấn Phong Hải, huyện Bảo Thắng, tỉnh Lào Cai"
Lốc tại tỉnh Gia Lai,Lốc,09/09/2020,09/09/2020,"Xã Ia Vê, huyện Chư Prong, tỉnh Gia Lai"
"Mưa lớn, lốc xoáy tại Gia Lai",Lốc,08/09/2020,08/09/2020,"Làng O Pếch, xã Ia Pếch, huyện Ia Grai, tỉnh Gia Lai"
Sét tại tỉnh Nghệ An,Sét,07/09/2020,07/09/2020,"Xã Đại Đồng, huyện Thanh Chương, tỉnh Nghệ An"
"Mưa lớn, Lốc xoáy tại Bắc Giang",Lốc,07/09/2020,07/09/2020,"Các xã thuộc huyện Tân Uyên, Yên Thế tỉnh Bắc Giang"
Động đất tại Sơn La,Động đất,01/09/2020,01/09/2020,"Huyện Mộc Châu, tỉnh Sơn La."
Động đất tại Sơn La,Động đất,26/08/2020,26/08/2020,"Huyện Sốp Cộp, tỉnh Sơn La."
Động đất tại Sơn La,Động đất,25/08/2020,25/08/2020,"Huyện Mộc Châu, tỉnh Sơn La."
Động đất tại Thanh Hóa,Động đất,22/08/2020,22/08/2020,"Huyện Bá Thước, tỉnh Thanh Hóa."
Động đất tại Sơn La,Động đất,20/08/2020,20/08/2020,"Huyện Mộc Châu, tỉnh Sơn La."
Động đất tại Thừa Thiên Huế,Động đất,19/08/2020,19/08/2020,"Huyện Quảng Điền, tỉnh Thừa Thiên Huế."
Động đất tại Sơn La,Động đất,17/08/2020,17/08/2020,"Huyện Vân Hồ, tỉnh Sơn La"
Động đất tại Sơn La,Động đất,17/08/2020,17/08/2020,"Huyện Mộc Châu, tỉnh Sơn La."
Động đất tại Sơn La,Động đất,17/08/2020,17/08/2020,"Huyện Mộc Châu, tỉnh Sơn La"
Động đất tại Sơn La,Động đất,17/08/2020,17/08/2020,"Huyện Vân Hồ, tỉnh Sơn La"
Động đất tại Sơn La,Động đất,17/08/2020,17/08/2020,"Huyện Mộc Châu, tỉnh Sơn La"
Động đất tại Sơn La,Động đất,17/08/2020,17/08/2020,"Huyện Mộc Châu, tỉnh Sơn La"
Động đất tại Sơn La,Động đất,17/08/2020,17/08/2020,"Huyện Mộc Châu, tỉnh Sơn La"
Động đất tại Sơn La,Động đất,17/08/2020,17/08/2020,"Huyện Mộc Châu, tỉnh Sơn La"
Động đất tại Sơn La,Động đất,17/08/2020,17/08/2020,"Huyện Mộc Châu, tỉnh Sơn La"
Bão số 4 (HIGOS),Bão,16/08/2020,19/08/2020,Trên khu vực tỉnh Quảng Đông-Quảng Tây (Trung Quốc)
Động đất tại Lai Châu,Động đất,16/08/2020,16/08/2020,"Huyện Mường Tè, tỉnh Lai Châu"
Lũ tại Sơn La,Lũ,15/08/2020,16/08/2020,"bản Kéo Lồm, xã Chiềng Lương, huyện Mai Sơn, tỉnh Sơn La"
Bão số 3 (MEKKHALA),Bão,09/08/2020,11/08/2020,Tỉnh Phúc Kiến (Trung Quốc)
Động đất tại Sơn La,Động đất,07/08/2020,07/08/2020,"Huyện Mộc Châu, tỉnh Sơn La."
Động đất tại Sơn La,Động đất,07/08/2020,07/08/2020,"Huyện Mộc Châu, tỉnh Sơn La."
Sạt lở đất tại Lào Cai,Sạt lở đất do mưa lũ hoặc dòng chảy,06/08/2020,06/08/2020,"Xã Phìn Ngang, huyện Bát Xát, tỉnh Lào Cai"
Động đất tại Sơn La,Động đất,05/08/2020,05/08/2020,"Huyện Mộc Châu, tỉnh Sơn La."
Sạt lở bờ sông tại Bến Tre,Sạt lở đất do mưa lũ hoặc dòng chảy,05/08/2020,05/08/2020,"Cầu Hòa Lộc, xã Hòa Lộc, huyện Mỏ Cày Bắc tỉnh Bến Tre"
Động đất tại Sơn La,Động đất,04/08/2020,04/08/2020,"Huyện Mộc Châu, tỉnh Sơn La."
Động đất tại Sơn La,Động đất,03/08/2020,03/08/2020,"Huyện Mộc Châu, tỉnh Sơn La."
Động đất tại Sơn La,Động đất,03/08/2020,03/08/2020,"Huyện Mộc Châu, tỉnh Sơn La."
Động đất tại Sơn La,Động đất,03/08/2020,03/08/2020,"Huyện Mộc Châu, tỉnh Sơn La."
Động đất tại Sơn La,Động đất,02/08/2020,02/08/2020,"Huyện Mộc Châu, tỉnh Sơn La."
Động đất tại Sơn La,Động đất,02/08/2020,02/08/2020,"Huyện Mộc Châu, tỉnh Sơn La."
Động đất tại Sơn La,Động đất,01/08/2020,01/08/2020,Mộc Châu (Sơn La)
Động đất tại Sơn La,Động đất,31/07/2020,31/07/2020,Mộc Châu (Sơn La)
Động đất tại Sơn La,Động đất,31/07/2020,31/07/2020,Mộc Châu (Sơn La)
Mưa lớn gây ngập lụt tại Đắk Lắk,Ngập lụt,31/07/2020,02/08/2020,Tỉnh Đắk Lắk
Động đất tại Sơn La,Động đất,30/07/2020,30/07/2020,"Mộc Châu, Sơn La"
Bão số 2 (SINLAKU),Bão,29/07/2020,02/08/2020,Trên đất liền tỉnh Thanh Hóa
Động đất tại Sơn La,Động đất,28/07/2020,28/07/2020,"Huyện Mộc Châu, tỉnh Sơn La"
Động đất tại Sơn La,Động đất,28/07/2020,28/07/2020,"Huyện Mộc Châu, tỉnh Sơn La."
Động đất tại Sơn La,Động đất,28/07/2020,28/07/2020,"Huyện Mộc Châu, tỉnh Sơn La."
Động đất tại Sơn La,Động đất,28/07/2020,28/07/2020,"Huyện Mộc Châu, tỉnh Sơn La."
Động đất tại Sơn La,Động đất,28/07/2020,28/07/2020,"Huyện Mộc Châu, tỉnh Sơn La."
Động đất tại Sơn La,Động đất,28/07/2020,28/07/2020,"Huyện Mộc Châu, tỉnh Sơn La."
Động đất tại Sơn La,Động đất,28/07/2020,28/07/2020,"Huyện Mộc Châu, tỉnh Sơn La."
Động đất tại Sơn La,Động đất,28/07/2020,28/07/2020,"Huyện Mộc Châu, tỉnh Sơn La."
Động đất tại Sơn La,Động đất,28/07/2020,28/07/2020,"Huyện Mộc Châu, tỉnh Sơn La."
Động đất tại Sơn La,Động đất,28/07/2020,28/07/2020,"Huyện Mộc Châu, tỉnh Sơn La."
Động đất tại Sơn La,Động đất,28/07/2020,28/07/2020,"Huyện Mộc Châu, tỉnh Sơn La."
Mưa lớn gây ngập úng tại Tuyên Quang,Ngập lụt,28/07/2020,29/07/2020,"Huyện Chiêm Hoá, tỉnh Tuyên Quang"
Động đất tại Sơn La,Động đất,27/07/2020,27/07/2020,"Huyện Mộc Châu, tỉnh Sơn La"
Động đất tại Sơn La,Động đất,27/07/2020,27/07/2020,Khu vực tỉnh Sơn La.
Động đất tại Sơn La,Động đất,27/07/2020,27/07/2020,"Huyện Mộc Châu, tỉnh Sơn La."
Động đất tại Sơn La,Động đất,27/07/2020,27/07/2020,"Huyện Mộc Châu, tỉnh Sơn La"
Động đất tại Sơn La,Động đất,27/07/2020,27/07/2020,"Huyện Mộc Châu, tỉnh Sơn La"
Động đất tại Sơn La,Động đất,27/07/2020,27/07/2020,"Huyện Mộc Châu, tỉnh Sơn La."
Mưa lũ gây ngập lụt thành phố Lào Cai,Ngập lụt,26/07/2020,27/07/2020,Thành phố Lào Cai
"Mưa lớn, lũ, ngập úng tỉnh Hà Giang",Mưa lớn,24/07/2020,25/07/2020,"Huyện Vị Xuyên, tỉnh Hà Giang"
"Mưa lớn, sạt lở đất ra trên địa bàn thành phố Đà Lạt",Sạt lở đất do mưa lũ hoặc dòng chảy,23/07/2020,23/07/2020,"Thành phố Đà Lạt, tỉnh Lâm Đồng"
Mưa lũ tại Hà Giang,Lũ,21/07/2020,,Tỉnh Hà Giang
Mưa lớn Tuyên Quang,Mưa lớn,21/07/2020,22/08/2020,"Huyện Hàm Yên, Yên Sơn Tuyên Quang"
"Mưa lớn kèm dông, lốc tại An Giang",Mưa lớn,16/07/2020,16/07/2020,"Huyện Châu Phú, An Phú và Phú Tân - Tỉnh An Giang"
Động đất tại biển tỉnh Bình Thuận,Động đất,15/07/2020,15/07/2020,Động đất xảy ra tại khu vực ngoài khơi biển tỉnh Bình Thuận.
"Mưa to kèm dông, lốc tại GIa Lai",Mưa lớn,14/07/2020,14/07/2020,Huyện Phú Thiện và huyện Đắk Đoa - Tỉnh Gia Lai
Mưa lớn tại Tuyên Quang,Mưa lớn,13/07/2020,14/07/2020,"Chiêm Hóa, Yên Sơn, Sơn Dương Tuyên Quang"
"Mưa to kèm dông, lốc tại Yên Bái",Mưa lớn,13/07/2020,13/07/2020,Thị xã Nghĩa Lộ - Tỉnh Yên Bái
Mưa dông tại Thái Nguyên,Mưa lớn,13/07/2020,13/07/2020,Phường Lương Sơn - Thành phố Sông Công - Tỉnh Thái Nguyên
Động đất tại Vân Nam (Trung Quốc),Động đất,12/07/2020,12/07/2020,"Vân Nam (Trung Quốc) - Cách biên giới Việt Nam tại địa phận huyện Mường Tè, Lai Châu khoảng 12km"
"Mưa to kèm dông, lốc tại Hoà Bình",Lốc,07/07/2020,07/07/2020,Xã Phong Phú - Huyện Tân Lạc - Tỉnh Hoà Bình
"Ngập lụt tại Lục Yên, Yên Bái",Ngập lụt,04/07/2020,05/07/2020,"Lục Yên, Yên Bái"
Ngập lụt tại Lào Cai,Ngập lụt,02/07/2020,04/07/2020,"Bát Xát, Thành phố Lào Cai, tỉnh Lào Cai"
"Sét tại xã Xuân Minh, huyện Quang Bình, tỉnh Hà Giang",Sét,02/07/2020,02/08/2020,"Xuân Minh, Quang Bình, Hà Giang"
"Sạt lở đất xã Bản Ngò, huyện Xí Mần, Hà Giang",Sạt lở đất do mưa lũ hoặc dòng chảy,02/07/2020,03/07/2020,"Xã Bản Ngò, huyện Xí Mần, Hà Giang"
Động đất tại Quảng Ninh,Động đất,01/07/2020,01/07/2020,"huyện Hoành Bồ, tỉnh Quảng Ninh."
"Lũ quét tại thị trấn Việt Lâm, huyện Vị Xuyên, tỉnh Hà Giang",Lũ quét,01/07/2020,02/07/2020,"Thị trấn Việt Lâm, Vị Xuyên, Hà Giang"
"Sạt lở đất do mưa lũ tại Xí Mần, Hà Giang",Sạt lở đất do mưa lũ hoặc dòng chảy,01/07/2020,02/07/2020,"Xã Chế Là, huyện Xí Mần, Hà Giang"
Mưa lớn tại Tuyên Quang,Mưa lớn,01/07/2020,02/07/2020,"Xã Yên Thuận, huyện Hàm Yên, Tuyên Quang"
"Mưa lớn kèm theo lốc, sét tại Nghệ An",Mưa lớn,01/07/2020,01/07/2020,Huyện Quỳ Châu và huyện Quế Phong - Tỉnh Nghệ An
Gió lốc tại Bình Thuận,Lốc,30/06/2020,30/06/2020,"Thôn Lập Đức, xã Tân Lập, huyện Hàm Thuận Nam, tỉnh Bình Thuận"
Động đất tại Lai Châu,Động đất,29/06/2020,29/06/2020,"Huyện Mường Tè, tỉnh Lai Châu."
Sạt lở đất do mưa lũ tại Hà Giang,Sạt lở đất do mưa lũ hoặc dòng chảy,28/06/2020,29/06/2020,"Huyện Bắc Quang, Hà Giang"
Lũ quét tại Hà Giang,Lũ quét,28/06/2020,29/06/2020,"Vị Xuyên, Hà Giang"
"Mưa lớn kèm dông, lốc tại Gia Lai",Mưa lớn,25/06/2020,25/06/2020,Huyện Phú Thiện - Tỉnh Gia Lai
Mưa kèm dông sét tại Tuyên Quang,Mưa lớn,24/06/2020,25/06/2020,"Xã Sinh Long, Sơn Phú, Côn Lôn - Huyện Na Hang  - Tỉnh Tuyên Quang"
Mưa to kèm gió mạnh tại Cà Mau,Mưa lớn,18/06/2020,18/06/2020,Xã Tân Thuận - Huyện Đầm Dơi - Tỉnh Cà Mau
Động đất tại Lai Châu,Động đất,16/06/2020,16/06/2020,"Huyện Mường Tè, tỉnh Lai Châu."
Động đất tại Lai Châu,Động đất,16/06/2020,16/06/2020,"Huyện Mường Tè, tỉnh Lai Châu."
Động đất tại Lai Châu,Động đất,15/06/2020,15/06/2020,"Huyện Mường Tè, tỉnh Lai Châu"
