name,kv_anhhuong,time_start,lon,lat,level,disaster_level,type
Động đất tại Kon Tum,Xã Đăk Ring - huyện Kon Plong - tỉnh Kon Tum,2022-01-05T03:02:00,108.257,14.909,0,,Động đất
Động đất tại Kon Tum,Xã Đắk Ring - huyện Kon Plong - tỉnh Kon Tum,2022-01-05T03:51:00,108.222,14.942,0,,Động đất
Động đất tại Kon Tum,Xã Đăk Năng - huyện Kon Plông - tỉnh Kon Tum,2022-01-05T09:48:00,108.217,14.964,0,,Động đất
Động đất tại Quảng Nam,Xã Trà Don - huyện Nam Trà My - tỉnh Quảng Nam,2022-01-08T18:20:00,108.109,15.038,0,,Động đất
Động đất tại Kon Tum,Xã Pờ Ê - huyện Kon Plông - tỉnh Kon Tum,2022-01-11T20:59:00,108.489,14.762,0,0,Động đất
Động đất tại Lào,Tỉnh Phongsaly - Lào,2022-01-10T18:41:00,102.048,22.183,0,0,Động đất
Động đất tại Kon Tum,Xã Đắk Ring - huyện Kon Plông - tỉnh Kon Tum,2022-01-12T03:52:00,108.271,14.872,0,0,Động đất
Động đất tại Kon Tum,Xã Pờ Ê - huyện Kon Plông - tỉnh Kon Tum,2022-01-11T21:29:00,108.504,14.747,0,0,Động đất
"Mưa lớn, ngập úng tại Tây Ninh",Xã Trà Vong - huyện Tân Biên - tỉnh Tây Ninh,2022-02-10T18:00:00,106.072383,11.4169,0,,Mưa lớn
Mưa lớn tại Tây Ninh,xã Hảo Đước - huyện Châu Thành - tỉnh Tây Ninh,2022-02-04T10:00:00,105.994078,11.359738,0,,Mưa lớn
Động đất tại Kon Tum,Xã Măng Buk - huyện Kon Plong - tỉnh Kon Tum,2022-01-12T12:35:00,108.178,14.969,0,,Động đất
Sạt lở đất tại Cần Thơ,"Phường Châu Văn Liêm, quận Ô Môn, thành phố Cần Thơ",2022-03-28T08:00:00,105.655844,10.143959,0,,Sạt lở đất
Mưa lớn tại Bắc Bộ và Trung Bộ,Bắc Bộ và Trung Bộ,2022-04-15T22:00:00,105.071089,21.912975,0,1,Mưa lớn
Động đất tại Kon Tum,Xã Pờ Ê - huyện Kon Plông - tỉnh Kon Tum,2022-04-18T14:19:00,108.442,14.727,0,,Động đất
Động đất tại Kon Tum,Xã Đăk Năng - huyện Kon Plông - tỉnh Kon Tum,2022-02-10T08:35:00,108.241,14.959,0,,Động đất
Động đất tại Kon Tum,Xã Ngọk Tem - huyện Kon Plông - tỉnh Kon Tum,2022-02-08T22:00:00,108.274,14.826,0,0,Động đất
Động đất tại Bắc Ninh,Thôn Đào Xá - Thành phố Bắc Ninh - tỉnh Bắc Ninh,2022-01-17T03:43:00,106.036,21.171,0,,Động đất
Động đất tại Kon Tum,Xã Đăk Năng - huyện Kon Plong - tỉnh Kon Tum,2022-01-05T21:18:00,108.211,14.976,0,0,Động đất
Động đất tại Kon Tum,Xã Ngọk Tem - huyện Kon Plông - tỉnh Kon Tum,2022-01-29T11:32:00,108.305,14.874,0,,Động đất
Sạt lở tại Hòa Bình,Xã Nánh Nghê - huyện Đà Bắc - tỉnh Hòa Bình,2022-01-17T03:00:00,104.905046,21.035326,0,,Sạt lở đất
Động đất tại Lào," Tỉnh Phongsaly, Lào",2022-01-24T11:30:00,101.732,22.308,0,,Động đất
Động đất tại Bắc Ninh,Phường Vệ An - Thành phố Bắc Ninh - tỉnh Bắc Ninh,2022-01-17T03:43:00,106.052,21.183,0,,Động đất
Động đất tại Kon Tum,Xã Đắk Tăng - huyện Kon Plông - tỉnh Kon Tum,2022-04-18T21:34:00,108.254,14.83,0,,Động đất
Động đất tại Kon Tum,Xã Pờ Ê - huyện Kon Plông - tỉnh Kon Tum,2022-04-18T22:06:00,108.422,14.736,0,,Động đất
Động đất tại Kon Tum,Xã Măng Búk - huyện Kon Plông - tỉnh Kon Tum,2022-01-29T12:27:00,108.229,14.844,0,,Động đất
Động đất tại Quảng Nam,Xã Trà Don - huyện Nam Trà My - tỉnh Quảng Nam,2022-01-23T02:48:00,108.141,15.009,0,,Động đất
Động đất tại Kon Tum,"Xã Ngọk Tem, huyện Kon Plông, tỉnh Kon Tum",2022-04-20T03:02:00,108.41,14.75,0,,Động đất
Động đất tại Kon Tum,Xã Măng Búk - huyện Kon Plông - tỉnh Kon Tum,2022-01-23T02:46:00,108.169,14.972,0,,Động đất
Động đất tại Kon Tum,Xã Đăk Năng - huyện Kon Plông - tỉnh Kon Tum,2022-01-05T14:03:00,108.206,14.958,0,0,Động đất
Động đất tại Kon Tum,Xã Măng Búk - huyện Kon Plong - tỉnh Kon Tum,2022-01-05T14:55:00,108.165,14.968,0,0,Động đất
Động đất tại Kon Tum,Xã Đăk Ring - huyện Kon Plong - tỉnh Kon Tum,2022-01-05T15:48:00,108.248,14.897,0,0,Động đất
Sạt lở đất tại Cà Mau,"Xã Nguyễn Huân, huyện Đầm Dơi, tỉnh Cà Mau",2022-02-01T13:00:00,105.30111,8.878792,0,,Sạt lở đất
Sạt lở đê tại An Giang,Ấp Mỹ Trung - xã Mỹ Phú - huyện Châu Phú - tỉnh An Giang,2022-01-03T15:00:00,105.201384,10.609125,0,,Sạt lở đất
Động đất tại Kon Tum,xã Măng Buk - huyện Kon Plong - tỉnh Kon Tum,2022-01-31T22:59:00,108.153,14.919,0,,Động đất
Động đất tại Kon Tum,xã Măng Buk - huyện Kon Plong - tỉnh Kon Tum,2022-01-31T13:52:00,108.202,14.866,0,,Động đất
Động đất tại Kon Tum,Xã Đắk Ring - huyện Kon Plông - tỉnh Kon Tum,2022-02-03T03:35:00,108.272,14.869,0,,Động đất
Mưa lớn kèm gió lốc  tại Bình Thuận,"Xã Đức Hạnh, Nam Chính và thị trấn Đức Tài - Huyện Đức Linh - Tỉnh Bình Thuận",2022-02-14T14:30:00,107.564396,11.189528,0,,Lốc
"Sóng to, gió lớn tại Biển Đông",Biển Đông,2022-02-08T14:30:00,106.9306,9.95,0,2,Gió mạnh trên biển
Động đất tại Kon Tum,Xã Đăk Tăng - huyện Kon Plông - tỉnh Kon Tum,2022-04-17T20:21:00,108.266,14.834,0,,Động đất
Động đất tại Kon Tum,Xã Ngọk Tem - huyện Kon Plông - tỉnh Kon Tum,2022-04-18T11:57:00,108.412,14.745,0,,Động đất
Động đất tại Kon Tum,Xã Đăk Ring - huyện Kon Plông - tỉnh Kon Tum,2022-03-31T14:08:00,108.208,14.941,0,,Động đất
Động đất tại Kon Tum,Xã Đắk Ring - huyện Kon Plông - tỉnh Kon Tum,2022-04-18T06:22:00,108.264,14.864,0,,Động đất
"Rét đậm, rét hại tại Bắc Bộ và Bắc Trung Bộ",Các tỉnh/tp khu vực Bắc Bộ và Bắc Trung Bộ,2022-01-28T21:30:00,103.814842,22.350593,0,1,Rét hại
