,name,time_start,lon,lat,level,type,province
137,Động đất tại Kon Tum,2022-01-29,108.229,14.844,0,Động đất,Kon Tum
138,Động đất tại Quảng Nam,2022-01-23,108.141,15.009,0,Động đất,Quang Nam
139,Động đất tại Kon Tum,2022-04-20,108.41,14.75,0,Động đất,Kon Tum
140,Động đất tại Kon Tum,2022-01-23,108.169,14.972,0,Động đất,Kon Tum
141,Động đất tại Kon Tum,2022-01-05,108.206,14.958,0,Động đất,Kon Tum
142,Động đất tại Kon Tum,2022-01-05,108.165,14.968,0,Động đất,Kon Tum
143,Động đất tại Kon Tum,2022-01-05,108.248,14.897,0,Động đất,Kon Tum
144,Sạt lở đất tại Cà Mau,2022-02-01,105.30111,8.878792,0,Sạt lở đất,Ca Mau
145,Sạt lở đê tại An Giang,2022-01-03,105.201384,10.609125,0,Sạt lở đất,An Giang
146,Động đất tại Kon Tum,2022-01-31,108.153,14.919,0,Động đất,Kon Tum
147,Động đất tại Kon Tum,2022-01-31,108.202,14.866,0,Động đất,Kon Tum
148,Động đất tại Kon Tum,2022-02-03,108.272,14.869,0,Động đất,Kon Tum
149,Mưa lớn kèm gió lốc  tại Bình Thuận,2022-02-14,107.564396,11.189528,0,Lốc,Binh Thuan
150,"Sóng to, gió lớn tại Biển Đông",2022-02-08,106.9306,9.95,0,Gió mạnh trên biển,Bien Đong
151,Động đất tại Kon Tum,2022-04-17,108.266,14.834,0,Động đất,Kon Tum
152,Động đất tại Kon Tum,2022-04-18,108.412,14.745,0,Động đất,Kon Tum
153,Động đất tại Kon Tum,2022-03-31,108.208,14.941,0,Động đất,Kon Tum
154,Động đất tại Kon Tum,2022-04-18,108.264,14.864,0,Động đất,Kon Tum
156,Sạt lở đất tại Thái Nguyên,2022-03-31,105.914905,21.822083,0,Sạt lở đất,Thai Nguyen
157,Mưa lớn tại Bắc Giang,2022-03-31,106.802132,21.328621,0,Mưa lớn,Bac Giang
158,Động đất tại Kon Tum,2022-02-14,108.27,14.897,0,Động đất,Kon Tum
159,Động đất tại Kon Tum,2022-02-15,108.181,14.927,0,Động đất,Kon Tum
161,"Mưa lớn, lũ tại Yên Bái",2022-02-19,104.442132,21.829245,0,Lũ,Yen Bai
162,Lốc tại Đồng Nai,2022-03-22,107.361811,11.208101,0,Lốc,Đong Nai
163,"Mưa dông, sét tại Hà Giang",2022-06-28,104.879567,22.416801,0,"Dông lốc, sét, mưa đá",Ha Giang
164,Mưa kèm theo lốc tại Phú Thọ,2022-03-06,105.268399,21.132093,0,Lốc,Phu Tho
166,Sét tại Bình Thuận,2022-04-20,107.501059,11.132061,0,Sét,Binh Thuan
167,"Mưa kèm dông, lốc xoáy tại Cà Mau",2022-04-03,105.174084,8.981854,0,Lốc,Ca Mau
